t_epoch,t_rel,total_frames,window,dnd,idle,privacy,emergency,alert_active,primary_proc,secondary_proc,secondary_drop
1776502461.108,370.000,21540,active_or_baseline,0,0,0,0,0,0,0,0
1776502462.105,371.000,21592,active_or_baseline,0,0,0,0,0,0,0,0
1776502463.108,372.000,21645,active_or_baseline,0,0,0,0,0,0,0,0
1776502464.107,373.000,21697,active_or_baseline,0,0,0,0,0,0,0,0
1776502465.106,374.000,21749,active_or_baseline,0,0,0,0,0,0,0,0
1776502466.108,375.000,21802,active_or_baseline,0,0,0,0,0,0,0,0
1776502467.106,376.000,21854,active_or_baseline,0,0,0,0,0,0,0,0
1776502468.105,377.000,21906,active_or_baseline,0,0,0,0,0,0,0,0
1776502469.111,378.000,21959,active_or_baseline,0,0,0,0,0,0,0,0
1776502470.109,379.003,22011,active_or_baseline,0,0,0,0,0,0,0,0
1776502471.106,380.000,22063,active_or_baseline,0,0,0,0,0,0,0,0
1776502472.107,381.000,22116,active_or_baseline,0,0,0,0,0,0,0,0
1776502473.107,382.000,22168,active_or_baseline,0,0,0,0,0,0,0,0
1776502474.107,383.000,22220,active_or_baseline,0,0,0,0,0,0,0,0
1776502475.119,384.001,22273,active_or_baseline,0,0,0,0,0,0,0,0
1776502476.108,385.000,22325,active_or_baseline,0,0,0,0,0,0,0,0
1776502477.106,386.000,22377,active_or_baseline,0,0,0,0,0,0,0,0
1776502478.110,387.000,22429,active_or_baseline,0,0,0,0,0,0,0,0
